geonames_id,lat,lat-lon,lon,place_name
3865084.0,-38.66667,"-38.66667,-62.33333",-62.33333,Partido de Bahía Blanca
3429088.0,-34.44542,"-34.44542,-58.54202",-58.54202,Partido de San Fernando
3427354.0,-34.46326,"-34.46326,-58.57464",-58.57464,Virreyes
3843123.0,-38.95161,"-38.95161,-68.0591",-68.0591,Neuquén
3837856.0,-41.15,"-41.15,-71.3",-71.3,San Carlos de Bariloche
3430115.0,-34.58574,"-34.58574,-58.47868",-58.47868,Parque Chas
3427467.0,-34.54531,"-34.54531,-58.55919",-58.55919,Villa Ballester
3433778.0,-34.5733,"-34.5733,-58.54099",-58.54099,Partido de General San Martín
3430087.0,-34.59542,"-34.59542,-58.47156",-58.47156,Paternal
3436487.0,-34.5952,"-34.5952,-58.48138",-58.48138,Agronomía
3429703.0,-34.58333,"-34.58333,-58.5",-58.5,Villa Pueyrredón
3435359.0,-34.56058,"-34.56058,-58.47477",-58.47477,Coghlan
3844421.0,-32.89084,"-32.89084,-68.82717",-68.82717,Mendoza
3854993.0,-32.95,"-32.95,-68.85",-68.85,Gobernador Benegas
3430550.0,-34.6349,"-34.6349,-58.79059",-58.79059,Partido de Moreno
3428775.0,-34.6766,"-34.6766,-58.56058",-58.56058,San Justo
3436033.0,-34.70728,"-34.70728,-58.2718",-58.2718,Bernal
3427407.0,-34.63814,"-34.63814,-58.50273",-58.50273,Villa Luro
3850312.0,-32.32205,"-32.32205,-62.88447",-62.88447,La Lonja
3433321.0,-34.788,"-34.788,-58.37489",-58.37489,José Mármol
3845393.0,-33.03547,"-33.03547,-68.87782",-68.87782,Luján de Cuyo
3427714.0,-34.88497,"-34.88497,-57.9667",-57.9667,Tolosa
3430861.0,-36.57531,"-36.57531,-56.68883",-56.68883,Mar del Tuyú
3856022.0,-31.4488,"-31.4488,-60.93173",-60.93173,Esperanza
3427451.0,-34.60064,"-34.60064,-58.51231",-58.51231,Villa Devoto
3436004.0,-34.63413,"-34.63413,-58.36298",-58.36298,Boca
